Beds,Baths,Basement,Parking Spaces,Garage Spaces,Carport Spaces,Lot Size SqFt,Price Sold,Kitchens,Fireplaces Total,Year Built (Est),SqFt Fin Total,SqFt Unfinished,Lot Size Acres,Sub area,Filename
4,4,0,2,2,0,7101,1280000,2,1,2011,2872,0,0,16,20959048
5,3,1,2,1,0,7215,1428000,2,1,1958,3230,0,0,9,22120012
3,2,0,4,2,0,6039,955352,1,1,1990,1351,571,0,33,26061801
4,3,1,5,2,0,8898,990000,2,2,1975,2324,2085,0,27,24513074
5,4,1,6,2,0,6028,1475000,2,0,2004,3485,774,0,13,25997928
5,5,1,3,2,0,6837,1699000,2,2,2008,3500,332,0,13,22762640
5,4,1,4,3,1,13354,1925000,2,1,2017,3576,719,0,11,21243419
5,3,1,4,0,0,6222,990000,2,1,1963,2398,352,0,28,21357046
3,3,0,2,2,0,6146,1375000,1,1,2002,2421,0,0,13,26107600
2,2,0,4,0,0,6826,885000,2,1,1953,1215,210,0,39,22082632
5,3,1,4,2,0,9123,1325000,2,2,1961,2175,474,0,33,23206724
5,3,1,5,1,0,9000,1303000,2,1,1968,2443,143,0,12,20904526
5,3,1,4,0,0,6410,850000,2,1,1938,2234,34,0,16,21025140
5,4,1,4,2,0,7363,1525000,2,0,2002,3141,0,0,17,22412918
5,4,1,4,2,0,10645,860000,2,1,1982,2942,342,0,10,21624027
4,2,1,2,1,0,9120,1365000,2,0,1951,1869,0,0,2,22149640
4,3,1,4,2,0,13430,1690000,2,2,1959,2523,584,0,2,24142268
6,3,1,3,1,0,7000,1191000,2,1,1963,2464,280,0,12,21250047
3,3,1,4,1,0,7536,940000,2,2,1987,2421,334,0,14,20740934
5,3,1,4,0,1,8873,1298000,2,2,1977,2822,564,0,17,20989306
4,3,1,2,0,0,6120,965000,2,1,1945,1722,85,0,28,23246344
5,3,1,4,0,2,6021,1310000,2,2,1975,2652,155,0,12,22435128
6,3,1,7,0,1,6246,1230000,2,0,1975,2307,59,0,19,22651821
4,3,1,4,0,2,13712,1438000,1,2,1977,3000,604,0,7,26127455
5,3,1,6,0,0,30056,1226500,2,2,1971,3356,653,0,35,21982246
4,4,0,5,2,0,7320,1340000,2,2,1988,2601,400,0,38,22849399
5,3,1,8,2,0,11927,1740000,2,2,1966,2377,85,0,20,24424760
5,3,0,3,2,1,7007,1518888,2,1,2009,2385,1047,0,12,22066400
6,4,1,2,2,0,8424,1715000,2,2,1990,3956,0,0,12,22111165
4,3,1,4,1,0,6000,1250000,2,2,1968,2295,241,0,12,22808552
3,2,1,4,2,0,14139,1360000,2,1,1950,2327,363,0,36,22430667
5,3,1,4,0,2,35719,1194929,2,2,1964,2900,122,0,11,20852916
6,4,1,4,2,0,10396,1380000,2,1,1995,2864,400,0,39,24442255
4,2,1,3,1,0,10296,1210000,2,1,1952,1815,61,0,16,20997611
4,3,1,5,2,0,8121,1275000,2,2,1976,2490,626,0,12,20959583
4,2,0,2,1,0,7560,1975000,1,2,1963,2647,606,0,0,26152671
5,3,1,6,0,0,5750,1213172,2,1,1940,2254,0,0,39,24700766
4,2,1,2,0,0,6960,965000,2,1,1968,1976,249,0,15,23763450
5,4,1,5,2,0,10583,1702000,2,1,2016,3711,688,0,17,21658951
5,2,1,2,0,0,8910,1125000,2,1,1958,2159,0,0,18,24043916
4,3,1,2,2,0,7150,1457000,2,2,1979,2308,678,0,13,22397861
5,4,1,3,1,0,10720,1900000,2,1,1953,3709,253,0,2,21033687
4,2,1,2,0,0,6120,1059000,2,1,1975,2138,451,0,12,21429384
3,3,1,2,1,0,5225,1400000,2,0,1990,2253,295,0,28,21181931
